ST	mn_tkt	mn_glnA	mn_gltA	mn_glk	mn_aroE	mn_murI	mn_lepC	mn_gyrA
1	1	1	1	1	1	1	1	1
2	1	1	1	13	1	1	1	1
3	1	1	1	3	2	3	1	3
4	1	1	1	13	7	3	11	1
5	1	1	1	3	2	4	1	3
6	1	1	1	19	2	4	7	3
7	1	1	6	4	5	5	1	8
8	1	1	8	3	1	14	1	1
9	1	2	1	3	2	4	1	3
10	1	2	7	3	2	7	1	1
11	1	2	7	3	2	7	1	17
12	1	2	7	3	16	7	1	1
13	1	2	22	1	19	3	13	1
14	1	3	8	1	4	10	3	1
15	1	3	8	1	6	10	3	1
16	1	3	13	8	11	2	9	7
17	1	3	15	1	2	3	12	1
18	1	3	20	4	5	5	1	4
19	1	5	7	3	2	7	1	1
20	1	5	9	1	4	3	11	9
21	1	5	9	12	17	3	16	1
22	1	7	1	3	2	3	1	4
23	1	8	9	1	4	2	11	9
24	1	8	9	1	4	2	20	1
25	1	8	14	1	4	2	11	9
26	1	9	1	1	2	5	3	10
27	1	9	1	1	2	12	3	10
28	1	13	1	1	18	3	3	1
29	1	15	15	3	4	2	19	1
30	1	16	23	6	2	4	22	15
31	2	1	1	2	2	2	1	2
32	2	2	4	5	4	5	1	4
33	2	2	4	5	4	6	1	1
34	2	3	8	1	2	5	3	1
35	2	3	8	1	2	9	1	1
36	2	3	14	8	11	2	9	12
37	2	3	17	1	2	5	3	1
38	2	3	18	8	11	2	17	3
39	2	5	5	6	2	3	3	1
40	2	9	5	1	4	3	7	1
41	2	12	5	15	2	3	18	1
42	3	1	1	1	2	4	1	3
43	3	2	1	3	8	3	5	1
44	3	2	2	3	3	3	2	1
45	3	2	5	1	2	3	7	1
46	3	2	5	1	2	3	23	1
47	3	2	8	7	10	5	3	1
48	3	2	9	1	7	4	6	1
49	3	2	10	3	8	3	5	1
50	3	2	10	3	8	3	5	13
51	3	2	10	10	2	5	3	1
52	3	2	15	3	1	11	1	3
53	3	2	15	14	1	11	1	12
54	3	3	3	1	4	3	3	1
55	3	3	8	1	1	3	1	1
56	3	6	6	4	2	5	5	4
57	3	8	1	1	6	3	3	1
58	3	10	15	4	13	11	13	1
59	3	10	15	3	21	2	1	1
60	3	14	1	16	2	2	19	1
61	3	14	1	17	20	15	21	1
62	4	1	1	2	15	3	1	1
63	4	1	1	3	2	3	1	1
64	4	1	1	3	2	3	1	14
65	4	1	1	18	2	3	1	1
66	4	2	12	1	4	5	8	6
67	4	2	12	1	7	5	8	6
